  Measurement Number     Measurement type
                   3               OnLine

      Measurement ID                     
       739561.829212                     

          Force Mode                Value         MeasureRange
             Voltage                    0         1.000000e-03

    Supply Complince     Integrating time     Refresh interval
        1.000000e-02                    0                    0

        Time      Voltage      Current  Temperature
3.6230e-02   1.0000e+00   7.0400e-04             NA
2.2130e-01   1.0000e+00   7.0400e-04             NA
3.6598e-01   1.0000e+00   7.0400e-04             NA
5.2291e-01   1.0000e+00   7.0400e-04             NA
6.8308e-01   1.0000e+00   7.0400e-04             NA
8.3645e-01   1.0000e+00   7.0400e-04             NA
9.8902e-01   1.0000e+00   7.0400e-04             NA
1.1410e+00   1.0000e+00   7.0400e-04             NA
1.3016e+00   1.0000e+00   7.0400e-04             NA
1.4590e+00   1.0000e+00   7.0400e-04             NA
1.6190e+00   1.0000e+00   7.0400e-04             NA
1.9123e+00   1.0000e+00   7.0400e-04             NA
1.9413e+00   1.0000e+00   7.0400e-04             NA
2.2306e+00   1.0000e+00   7.0400e-04             NA
2.2645e+00   1.0000e+00   7.0400e-04             NA
2.5399e+00   1.0000e+00   7.0400e-04             NA
2.7031e+00   1.0000e+00   7.0400e-04             NA
2.8570e+00   1.0000e+00   7.0400e-04             NA
3.0048e+00   1.0010e+00   7.0400e-04             NA
3.0382e+00   1.0000e+00   7.0400e-04             NA
3.3170e+00   1.0000e+00   7.0400e-04             NA
3.4671e+00   1.0000e+00   7.0400e-04             NA
3.6226e+00   1.0000e+00   7.0400e-04             NA
3.6526e+00   1.0000e+00   7.0400e-04             NA
3.9421e+00   1.0000e+00   7.0400e-04             NA
4.0921e+00   1.0000e+00   7.0400e-04             NA
4.1340e+00   1.0000e+00   7.0400e-04             NA
4.4084e+00   1.0000e+00   7.0400e-04             NA
4.5742e+00   1.0000e+00   7.0400e-04             NA
4.6343e+00   1.0000e+00   7.0400e-04             NA
4.8853e+00   1.0000e+00   7.0400e-04             NA
5.0428e+00   1.0000e+00   7.0400e-04             NA
5.1340e+00   1.0000e+00   7.0400e-04             NA
5.3301e+00   1.0000e+00   7.0400e-04             NA
5.4886e+00   1.0000e+00   7.0350e-04             NA
5.5341e+00   1.0000e+00   7.0400e-04             NA
5.8329e+00   1.0000e+00   7.0400e-04             NA
6.0049e+00   1.0000e+00   7.0400e-04             NA
6.0401e+00   1.0000e+00   7.0400e-04             NA
6.3325e+00   1.0000e+00   7.0400e-04             NA
6.4967e+00   1.0000e+00   7.0400e-04             NA
6.6648e+00   1.0000e+00   7.0400e-04             NA
6.8263e+00   1.0000e+00   7.0400e-04             NA
7.0008e+00   1.0000e+00   7.0400e-04             NA
7.0349e+00   1.0000e+00   7.0400e-04             NA
7.2092e+00   1.0000e+00   7.0400e-04             NA
7.4954e+00   1.0000e+00   7.0400e-04             NA
7.6817e+00   1.0000e+00   7.0400e-04             NA
7.8420e+00   1.0000e+00   7.0400e-04             NA
8.0066e+00   1.0000e+00   7.0350e-04             NA
8.0437e+00   1.0000e+00   7.0400e-04             NA
8.3938e+00   2.0010e+00   1.4065e-03             NA
8.4341e+00   2.0010e+00   1.4060e-03             NA
8.7303e+00   2.0010e+00   1.4065e-03             NA
8.8881e+00   2.0010e+00   1.4060e-03             NA
9.0505e+00   2.0010e+00   1.4065e-03             NA
9.1343e+00   2.0010e+00   1.4065e-03             NA
9.3691e+00   2.0010e+00   1.4060e-03             NA
9.5387e+00   2.0010e+00   1.4065e-03             NA
9.7114e+00   2.0010e+00   1.4065e-03             NA
9.8792e+00   2.0010e+00   1.4060e-03             NA
1.0036e+01   2.0010e+00   1.4065e-03             NA
1.0135e+01   2.0010e+00   1.4065e-03             NA
1.0346e+01   2.0010e+00   1.4065e-03             NA
1.0510e+01   2.0010e+00   1.4060e-03             NA
1.0672e+01   2.0010e+00   1.4065e-03             NA
1.0836e+01   2.0010e+00   1.4065e-03             NA
1.0999e+01   2.0010e+00   1.4060e-03             NA
1.1167e+01   2.0010e+00   1.4065e-03             NA
1.1336e+01   2.0010e+00   1.4060e-03             NA
1.1503e+01   2.0010e+00   1.4060e-03             NA
1.1672e+01   2.0010e+00   1.4060e-03             NA
1.1834e+01   2.0010e+00   1.4065e-03             NA
1.2006e+01   2.0010e+00   1.4060e-03             NA
1.2039e+01   2.0010e+00   1.4060e-03             NA
1.2326e+01   2.0010e+00   1.4065e-03             NA
1.2494e+01   2.0010e+00   1.4065e-03             NA
1.2657e+01   2.0010e+00   1.4065e-03             NA
1.2735e+01   2.0010e+00   1.4060e-03             NA
1.2963e+01   2.0010e+00   1.4060e-03             NA
1.3130e+01   2.0010e+00   1.4060e-03             NA
1.3295e+01   2.0010e+00   1.4065e-03             NA
1.3333e+01   2.0010e+00   1.4060e-03             NA
1.3632e+01   2.0010e+00   1.4065e-03             NA
1.3798e+01   2.0010e+00   1.4065e-03             NA
1.3834e+01   2.0010e+00   1.4060e-03             NA
1.4123e+01   2.0010e+00   1.4060e-03             NA
1.4158e+01   2.0010e+00   1.4060e-03             NA
1.4449e+01   2.0010e+00   1.4065e-03             NA
1.4623e+01   2.0010e+00   1.4065e-03             NA
1.4852e+01   2.0010e+00   1.4065e-03             NA
1.5044e+01   2.0010e+00   1.4065e-03             NA
1.5135e+01   2.0010e+00   1.4065e-03             NA
1.5344e+01   2.0010e+00   1.4060e-03             NA
1.5515e+01   2.0010e+00   1.4065e-03             NA
1.5682e+01   2.0010e+00   1.4065e-03             NA
1.5844e+01   2.0010e+00   1.4065e-03             NA
1.6009e+01   2.0010e+00   1.4065e-03             NA
1.6050e+01   2.0010e+00   1.4065e-03             NA
1.6341e+01   2.0010e+00   1.4065e-03             NA
1.6510e+01   2.0010e+00   1.4065e-03             NA
1.6545e+01   2.0010e+00   1.4065e-03             NA
1.6837e+01   2.0010e+00   1.4065e-03             NA
1.7007e+01   2.0010e+00   1.4060e-03             NA
1.7177e+01   2.0010e+00   1.4065e-03             NA
1.7351e+01   2.0010e+00   1.4060e-03             NA
1.7530e+01   2.0010e+00   1.4065e-03             NA
1.7697e+01   2.0010e+00   1.4065e-03             NA
1.7733e+01   2.0010e+00   1.4060e-03             NA
1.8028e+01   2.0010e+00   1.4065e-03             NA
1.8060e+01   2.0010e+00   1.4065e-03             NA
1.8346e+01   2.0010e+00   1.4065e-03             NA
1.8433e+01   2.0010e+00   1.4065e-03             NA
1.8660e+01   2.0010e+00   1.4065e-03             NA
1.8870e+01   2.0010e+00   1.4065e-03             NA
1.9044e+01   2.0010e+00   1.4065e-03             NA
1.9249e+01   3.0010e+00   2.1070e-03             NA
1.9334e+01   3.0010e+00   2.1070e-03             NA
1.9566e+01   3.0010e+00   2.1070e-03             NA
1.9733e+01   3.0010e+00   2.1070e-03             NA
1.9896e+01   3.0010e+00   2.1070e-03             NA
2.0059e+01   3.0010e+00   2.1065e-03             NA
2.0133e+01   3.0010e+00   2.1065e-03             NA
2.0368e+01   3.0010e+00   2.1060e-03             NA
2.0523e+01   3.0010e+00   2.1060e-03             NA
2.0690e+01   3.0010e+00   2.1060e-03             NA
2.0856e+01   3.0010e+00   2.1060e-03             NA
2.1018e+01   3.0010e+00   2.1065e-03             NA
2.1193e+01   3.0010e+00   2.1065e-03             NA
2.1352e+01   3.0010e+00   2.1065e-03             NA
2.1517e+01   3.0010e+00   2.1065e-03             NA
2.1686e+01   3.0010e+00   2.1065e-03             NA
2.1848e+01   3.0010e+00   2.1065e-03             NA
2.2007e+01   3.0010e+00   2.1065e-03             NA
2.2170e+01   3.0010e+00   2.1060e-03             NA
2.2325e+01   3.0010e+00   2.1065e-03             NA
2.2487e+01   3.0010e+00   2.1065e-03             NA
2.2658e+01   3.0010e+00   2.1070e-03             NA
2.2829e+01   3.0010e+00   2.1065e-03             NA
2.3001e+01   3.0010e+00   2.1065e-03             NA
2.3171e+01   3.0010e+00   2.1065e-03             NA
2.3328e+01   3.0010e+00   2.1070e-03             NA
2.3499e+01   3.0010e+00   2.1060e-03             NA
2.3677e+01   3.0010e+00   2.1065e-03             NA
2.3830e+01   3.0010e+00   2.1065e-03             NA
2.3993e+01   3.0010e+00   2.1065e-03             NA
2.4148e+01   3.0010e+00   2.1070e-03             NA
2.4234e+01   3.0010e+00   2.1070e-03             NA
2.4456e+01   3.0010e+00   2.1075e-03             NA
2.4616e+01   3.0010e+00   2.1070e-03             NA
2.4784e+01   3.0010e+00   2.1070e-03             NA
2.4945e+01   3.0010e+00   2.1070e-03             NA
2.5102e+01   3.0010e+00   2.1075e-03             NA
2.5135e+01   3.0010e+00   2.1070e-03             NA
2.5420e+01   3.0010e+00   2.1075e-03             NA
2.5452e+01   3.0010e+00   2.1070e-03             NA
2.5747e+01   3.0010e+00   2.1075e-03             NA
2.5912e+01   3.0010e+00   2.1070e-03             NA
2.6067e+01   3.0010e+00   2.1065e-03             NA
2.6234e+01   3.0010e+00   2.1065e-03             NA
2.6387e+01   3.0010e+00   2.1070e-03             NA
2.6556e+01   3.0010e+00   2.1070e-03             NA
2.6726e+01   3.0010e+00   2.1075e-03             NA
2.6885e+01   3.0010e+00   2.1075e-03             NA
2.7058e+01   3.0010e+00   2.1075e-03             NA
2.7222e+01   3.0010e+00   2.1075e-03             NA
2.7386e+01   3.0010e+00   2.1075e-03             NA
2.7557e+01   3.0010e+00   2.1075e-03             NA
2.7722e+01   3.0010e+00   2.1075e-03             NA
2.7891e+01   3.0010e+00   2.1075e-03             NA
2.8053e+01   3.0010e+00   2.1075e-03             NA
2.8228e+01   3.0010e+00   2.1075e-03             NA
2.8390e+01   3.0010e+00   2.1075e-03             NA
2.8565e+01   3.0010e+00   2.1075e-03             NA
2.8729e+01   3.0010e+00   2.1080e-03             NA
2.8895e+01   3.0010e+00   2.1075e-03             NA
2.9065e+01   3.0010e+00   2.1080e-03             NA
2.9228e+01   3.0010e+00   2.1080e-03             NA
2.9392e+01   3.0010e+00   2.1075e-03             NA
2.9554e+01   3.0010e+00   2.1080e-03             NA
2.9722e+01   3.0010e+00   2.1075e-03             NA
2.9877e+01   3.0010e+00   2.1075e-03             NA
3.0033e+01   3.0010e+00   2.1075e-03             NA
3.0063e+01   3.0010e+00   2.1075e-03             NA
3.0403e+01   3.0010e+00   2.1075e-03             NA
3.0601e+01   3.0010e+00   2.1075e-03             NA
3.0795e+01   3.0010e+00   2.1075e-03             NA
3.0984e+01   3.0010e+00   2.1075e-03             NA
3.1178e+01   3.0010e+00   2.1075e-03             NA
3.1365e+01   3.0010e+00   2.1075e-03             NA
3.1563e+01   3.0010e+00   2.1075e-03             NA
3.1761e+01   3.0010e+00   2.1075e-03             NA
3.1835e+01   3.0010e+00   2.1075e-03             NA
3.2155e+01   3.0010e+00   2.1075e-03             NA
3.2235e+01   3.0010e+00   2.1075e-03             NA
3.2604e+01   3.0010e+00   2.1075e-03             NA
3.2832e+01   3.0010e+00   2.1075e-03             NA
3.3070e+01   3.0010e+00   2.1075e-03             NA
3.3287e+01   3.0010e+00   2.1075e-03             NA
3.3515e+01   3.0010e+00   2.1075e-03             NA
3.3755e+01   3.0010e+00   2.1075e-03             NA
3.3982e+01   3.0010e+00   2.1075e-03             NA
3.4213e+01   3.0010e+00   2.1075e-03             NA
3.4440e+01   3.0010e+00   2.1075e-03             NA
3.4665e+01   3.0010e+00   2.1075e-03             NA
3.4882e+01   3.0010e+00   2.1075e-03             NA
3.5105e+01   3.0010e+00   2.1075e-03             NA
3.5204e+01   4.0000e+00   2.8015e-03             NA
3.5399e+01   4.0000e+00   2.7915e-03             NA
3.5740e+01   4.0010e+00   2.7950e-03             NA
3.5958e+01   4.0010e+00   2.7955e-03             NA
3.6170e+01   4.0000e+00   2.7875e-03             NA
3.6408e+01   4.0000e+00   2.7700e-03             NA
3.6633e+01   4.0000e+00   2.7865e-03             NA
3.6849e+01   4.0010e+00   2.8095e-03             NA
3.7077e+01   4.0000e+00   2.8680e-03             NA
