  Measurement Number     Measurement type
                   1               OnLine

      Measurement ID                     
       739561.731867                     

          Force Mode                Value         MeasureRange
             Voltage                    0         1.000000e-02

    Supply Complince     Integrating time     Refresh interval
        1.000000e-01                    0                    0

        Time      Voltage      Current  Temperature
4.0040e-02   1.0000e+00   7.2500e-04             NA
1.3864e-01   1.0000e+00   7.2500e-04             NA
2.3675e-01   1.0000e+00   7.2500e-04             NA
3.3697e-01   1.0000e+00   7.2500e-04             NA
4.3731e-01   1.0000e+00   7.2500e-04             NA
5.3664e-01   1.0000e+00   7.2500e-04             NA
6.3641e-01   1.0000e+00   7.2500e-04             NA
7.4574e-01   1.0000e+00   7.2500e-04             NA
8.3778e-01   1.0000e+00   7.2500e-04             NA
9.3789e-01   1.0000e+00   7.2500e-04             NA
1.0373e+00   1.0000e+00   7.2500e-04             NA
1.1374e+00   1.0000e+00   7.2500e-04             NA
1.2372e+00   1.0000e+00   7.2500e-04             NA
1.3377e+00   1.0000e+00   7.2500e-04             NA
1.4374e+00   1.0000e+00   7.2500e-04             NA
1.5371e+00   1.0000e+00   7.2500e-04             NA
1.6373e+00   1.0000e+00   7.2500e-04             NA
1.7369e+00   1.0000e+00   7.2500e-04             NA
1.8367e+00   1.0000e+00   7.2500e-04             NA
1.9366e+00   1.0000e+00   7.2500e-04             NA
2.0370e+00   1.0000e+00   7.2500e-04             NA
2.1362e+00   1.0000e+00   7.2500e-04             NA
2.2437e+00   1.0000e+00   7.2500e-04             NA
2.3377e+00   1.0000e+00   7.2500e-04             NA
2.4373e+00   1.0000e+00   7.2500e-04             NA
2.5374e+00   1.0010e+00   7.2500e-04             NA
2.6370e+00   1.0000e+00   7.2500e-04             NA
2.7375e+00   1.0000e+00   7.2500e-04             NA
2.8369e+00   1.0000e+00   7.2500e-04             NA
2.9371e+00   1.0000e+00   7.2500e-04             NA
3.0375e+00   1.0000e+00   7.2500e-04             NA
3.1368e+00   1.0000e+00   7.2500e-04             NA
3.2368e+00   1.0000e+00   7.2500e-04             NA
3.3373e+00   1.0000e+00   7.2500e-04             NA
3.4367e+00   1.0000e+00   7.2500e-04             NA
3.5364e+00   1.0000e+00   7.2500e-04             NA
3.6392e+00   1.0000e+00   7.2500e-04             NA
3.7374e+00   1.0000e+00   7.2500e-04             NA
3.8481e+00   1.0000e+00   7.2500e-04             NA
3.9407e+00   1.0000e+00   7.2500e-04             NA
4.0390e+00   1.0000e+00   7.2500e-04             NA
4.1389e+00   1.0000e+00   7.2500e-04             NA
4.4468e+00   1.0010e+00   7.2500e-04             NA
4.7251e+00   1.0000e+00   7.2500e-04             NA
4.7648e+00   1.0000e+00   7.2500e-04             NA
4.9626e+00   1.0000e+00   7.2500e-04             NA
5.1289e+00   1.0000e+00   7.2500e-04             NA
5.3009e+00   1.0000e+00   7.2500e-04             NA
5.4647e+00   1.0000e+00   7.2500e-04             NA
5.6179e+00   1.0000e+00   7.2500e-04             NA
5.9394e+00   1.0000e+00   7.2500e-04             NA
6.0389e+00   1.0010e+00   7.2500e-04             NA
6.1384e+00   1.0000e+00   7.2500e-04             NA
6.4076e+00   1.0010e+00   7.2500e-04             NA
6.5792e+00   1.0000e+00   7.2500e-04             NA
6.6366e+00   1.0000e+00   7.2500e-04             NA
6.9537e+00   1.0000e+00   7.2500e-04             NA
7.1256e+00   1.0000e+00   7.2500e-04             NA
7.1584e+00   1.0000e+00   7.2500e-04             NA
7.4530e+00   1.0000e+00   7.2500e-04             NA
7.6307e+00   1.0000e+00   7.2500e-04             NA
7.7922e+00   1.0000e+00   7.2500e-04             NA
7.9908e+00   1.0000e+00   7.2500e-04             NA
8.1540e+00   1.0000e+00   7.2500e-04             NA
8.2372e+00   1.0000e+00   7.2500e-04             NA
8.4739e+00   1.0000e+00   7.2500e-04             NA
8.6509e+00   1.0000e+00   7.2500e-04             NA
8.7380e+00   1.0000e+00   7.2500e-04             NA
8.9956e+00   1.0000e+00   7.2500e-04             NA
9.1622e+00   1.0000e+00   7.2500e-04             NA
9.2372e+00   1.0000e+00   7.2500e-04             NA
9.4753e+00   1.0000e+00   7.2500e-04             NA
9.6473e+00   1.0000e+00   7.2500e-04             NA
9.8153e+00   1.0000e+00   7.2500e-04             NA
1.0025e+01   1.0000e+00   7.2500e-04             NA
1.0059e+01   1.0000e+00   7.2500e-04             NA
1.0362e+01   1.0000e+00   7.2500e-04             NA
1.0535e+01   1.0000e+00   7.2500e-04             NA
1.0698e+01   1.0000e+00   7.2500e-04             NA
1.0877e+01   1.0000e+00   7.2500e-04             NA
1.1068e+01   1.0000e+00   7.2500e-04             NA
1.1137e+01   1.0000e+00   7.2500e-04             NA
1.1382e+01   1.0000e+00   7.2500e-04             NA
1.1547e+01   1.0000e+00   7.2500e-04             NA
1.1720e+01   1.0000e+00   7.2500e-04             NA
1.1931e+01   1.0000e+00   7.2500e-04             NA
1.2099e+01   1.0000e+00   7.2500e-04             NA
1.2137e+01   1.0000e+00   7.2500e-04             NA
1.2415e+01   1.0000e+00   7.2500e-04             NA
1.2584e+01   1.0000e+00   7.2500e-04             NA
1.2749e+01   1.0000e+00   7.2500e-04             NA
1.2957e+01   1.0000e+00   7.2500e-04             NA
1.3037e+01   1.0000e+00   7.2500e-04             NA
1.3138e+01   1.0010e+00   7.2500e-04             NA
1.3416e+01   1.0010e+00   7.2500e-04             NA
1.3579e+01   1.0000e+00   7.2500e-04             NA
1.3660e+01   2.0010e+00   1.4450e-03             NA
1.3807e+01   2.0010e+00   1.4450e-03             NA
1.4148e+01   2.0010e+00   1.4450e-03             NA
1.4237e+01   2.0010e+00   1.4450e-03             NA
1.4437e+01   2.0010e+00   1.4450e-03             NA
1.4602e+01   2.0010e+00   1.4450e-03             NA
1.4753e+01   2.0010e+00   1.4450e-03             NA
1.4955e+01   2.0010e+00   1.4450e-03             NA
1.5128e+01   2.0010e+00   1.4450e-03             NA
1.5295e+01   2.0010e+00   1.4450e-03             NA
1.5454e+01   2.0010e+00   1.4450e-03             NA
1.5611e+01   2.0010e+00   1.4450e-03             NA
1.5764e+01   2.0010e+00   1.4450e-03             NA
1.5956e+01   2.0010e+00   1.4450e-03             NA
1.6122e+01   2.0010e+00   1.4450e-03             NA
1.6287e+01   2.0010e+00   1.4450e-03             NA
1.6444e+01   2.0010e+00   1.4450e-03             NA
1.6605e+01   2.0010e+00   1.4450e-03             NA
1.6771e+01   2.0010e+00   1.4450e-03             NA
1.6838e+01   2.0010e+00   1.4450e-03             NA
1.7151e+01   2.0010e+00   1.4450e-03             NA
1.7319e+01   2.0010e+00   1.4450e-03             NA
1.7489e+01   2.0010e+00   1.4450e-03             NA
1.7654e+01   2.0010e+00   1.4450e-03             NA
1.7822e+01   2.0010e+00   1.4450e-03             NA
1.8028e+01   2.0010e+00   1.4450e-03             NA
1.8062e+01   2.0010e+00   1.4450e-03             NA
1.8342e+01   2.0010e+00   1.4450e-03             NA
1.8498e+01   2.0010e+00   1.4450e-03             NA
1.8669e+01   2.0010e+00   1.4450e-03             NA
1.8824e+01   2.0010e+00   1.4450e-03             NA
1.9023e+01   2.0010e+00   1.4450e-03             NA
1.9185e+01   2.0010e+00   1.4450e-03             NA
1.9343e+01   2.0010e+00   1.4450e-03             NA
1.9535e+01   2.0010e+00   1.4450e-03             NA
1.9707e+01   2.0010e+00   1.4450e-03             NA
1.9865e+01   2.0010e+00   1.4450e-03             NA
2.0073e+01   2.0010e+00   1.4450e-03             NA
2.0138e+01   2.0010e+00   1.4450e-03             NA
2.0407e+01   2.0010e+00   1.4450e-03             NA
2.0568e+01   2.0010e+00   1.4450e-03             NA
2.0737e+01   2.0010e+00   1.4450e-03             NA
2.0910e+01   2.0010e+00   1.4450e-03             NA
2.1095e+01   2.0010e+00   1.4450e-03             NA
2.1260e+01   2.0010e+00   1.4450e-03             NA
2.1419e+01   2.0010e+00   1.4450e-03             NA
2.1587e+01   2.0010e+00   1.4450e-03             NA
2.1742e+01   2.0010e+00   1.4450e-03             NA
2.1905e+01   2.0010e+00   1.4450e-03             NA
2.2093e+01   2.0010e+00   1.4450e-03             NA
2.2136e+01   2.0010e+00   1.4450e-03             NA
2.2401e+01   2.0010e+00   1.4450e-03             NA
2.2572e+01   2.0010e+00   1.4450e-03             NA
2.2736e+01   2.0010e+00   1.4450e-03             NA
2.2890e+01   2.0010e+00   1.4450e-03             NA
2.3090e+01   2.0010e+00   1.4450e-03             NA
2.3254e+01   2.0010e+00   1.4450e-03             NA
2.3420e+01   2.0010e+00   1.4450e-03             NA
2.3588e+01   2.0010e+00   1.4450e-03             NA
2.3755e+01   2.0010e+00   1.4450e-03             NA
2.3927e+01   2.0010e+00   1.4450e-03             NA
2.4120e+01   2.0010e+00   1.4450e-03             NA
2.4151e+01   2.0010e+00   1.4450e-03             NA
2.4433e+01   2.0010e+00   1.4450e-03             NA
2.4585e+01   2.0010e+00   1.4450e-03             NA
2.4743e+01   2.0010e+00   1.4450e-03             NA
2.4904e+01   2.0010e+00   1.4450e-03             NA
2.5101e+01   2.0010e+00   1.4450e-03             NA
2.5138e+01   2.0010e+00   1.4450e-03             NA
