  Measurement Number     Measurement type
                   2               OnLine

      Measurement ID                     
       739561.825443                     

          Force Mode                Value         MeasureRange
             Voltage                    0         1.000000e-03

    Supply Complince     Integrating time     Refresh interval
        1.000000e-02                    0                    0

        Time      Voltage      Current  Temperature
1.9501e-01   1.0000e+00   6.5500e-04             NA
4.2471e-01   1.0010e+00   6.5500e-04             NA
7.0141e-01   1.0000e+00   6.5500e-04             NA
7.5032e-01   1.0000e+00   6.5500e-04             NA
1.0252e+00   1.0000e+00   6.5500e-04             NA
1.0657e+00   1.0000e+00   6.5500e-04             NA
1.4021e+00   1.0000e+00   6.5500e-04             NA
1.5776e+00   1.0000e+00   6.5500e-04             NA
1.6466e+00   1.0000e+00   6.5500e-04             NA
1.7829e+00   1.0000e+00   6.5500e-04             NA
2.0580e+00   1.0000e+00   6.5500e-04             NA
2.1468e+00   1.0000e+00   6.5500e-04             NA
2.3855e+00   1.0010e+00   6.5500e-04             NA
2.5760e+00   1.0000e+00   6.5500e-04             NA
2.6466e+00   1.0000e+00   6.5500e-04             NA
2.8883e+00   1.0000e+00   6.5500e-04             NA
3.0463e+00   1.0000e+00   6.5500e-04             NA
3.1462e+00   1.0000e+00   6.5500e-04             NA
3.3499e+00   1.0000e+00   6.5500e-04             NA
3.5094e+00   1.0000e+00   6.5500e-04             NA
3.5459e+00   1.0000e+00   6.5500e-04             NA
3.8314e+00   1.0000e+00   6.5500e-04             NA
3.9890e+00   1.0000e+00   6.5500e-04             NA
4.1462e+00   1.0000e+00   6.5500e-04             NA
4.2468e+00   1.0000e+00   6.5500e-04             NA
4.3469e+00   1.0000e+00   6.5500e-04             NA
4.6099e+00   1.0000e+00   6.5500e-04             NA
4.6470e+00   1.0000e+00   6.5500e-04             NA
4.9353e+00   1.0000e+00   6.5500e-04             NA
5.0989e+00   1.0000e+00   6.5500e-04             NA
5.1477e+00   1.0000e+00   6.5500e-04             NA
5.4689e+00   1.0000e+00   6.5500e-04             NA
5.6395e+00   1.0000e+00   6.5500e-04             NA
5.7987e+00   1.0000e+00   6.5500e-04             NA
