  Measurement Number     Measurement type
                   2               OnLine

      Measurement ID                     
       739561.829078                     

          Force Mode                Value         MeasureRange
             Voltage                    0         1.000000e-03

    Supply Complince     Integrating time     Refresh interval
        1.000000e-02                    0                    0

        Time      Voltage      Current  Temperature
3.9220e-02   3.0010e+00   2.1060e-03             NA
2.1876e-01   3.0010e+00   2.1065e-03             NA
5.1115e-01   3.0010e+00   2.1065e-03             NA
5.4037e-01   3.0010e+00   2.1065e-03             NA
8.5075e-01   3.0010e+00   2.1060e-03             NA
9.3100e-01   3.0010e+00   2.1060e-03             NA
1.0388e+00   3.0010e+00   2.1060e-03             NA
1.2173e+00   3.0010e+00   2.1055e-03             NA
1.3738e+00   3.0010e+00   2.1060e-03             NA
1.6779e+00   3.0010e+00   2.1060e-03             NA
1.7307e+00   3.0010e+00   2.1060e-03             NA
2.0118e+00   3.0010e+00   2.1055e-03             NA
2.0458e+00   3.0010e+00   2.1055e-03             NA
2.2159e+00   3.0010e+00   2.1060e-03             NA
2.5113e+00   3.0010e+00   2.1065e-03             NA
2.5433e+00   3.0010e+00   2.1060e-03             NA
2.7107e+00   3.0010e+00   2.1060e-03             NA
3.0114e+00   3.0010e+00   2.1055e-03             NA
3.0449e+00   3.0010e+00   2.1060e-03             NA
3.2159e+00   3.0010e+00   2.1055e-03             NA
3.5396e+00   3.0010e+00   2.1060e-03             NA
3.6303e+00   3.0010e+00   2.1060e-03             NA
3.8676e+00   3.0010e+00   2.1060e-03             NA
4.0373e+00   3.0010e+00   2.1055e-03             NA
4.1311e+00   3.0010e+00   2.1060e-03             NA
4.3703e+00   3.0010e+00   2.1060e-03             NA
4.5442e+00   3.0010e+00   2.1060e-03             NA
4.6307e+00   3.0010e+00   2.1060e-03             NA
4.8637e+00   3.0010e+00   2.1065e-03             NA
5.0373e+00   3.0010e+00   2.1060e-03             NA
5.1309e+00   3.0010e+00   2.1060e-03             NA
5.3628e+00   3.0010e+00   2.1065e-03             NA
5.5444e+00   3.0010e+00   2.1060e-03             NA
5.7332e+00   3.0010e+00   2.1065e-03             NA
5.9088e+00   3.0010e+00   2.1065e-03             NA
5.9425e+00   3.0010e+00   2.1065e-03             NA
6.2517e+00   3.0010e+00   2.1070e-03             NA
6.3303e+00   3.0010e+00   2.1065e-03             NA
6.5850e+00   3.0010e+00   2.1070e-03             NA
6.7593e+00   3.0010e+00   2.1070e-03             NA
6.9292e+00   3.0010e+00   2.1065e-03             NA
6.9670e+00   3.0010e+00   2.1065e-03             NA
7.2634e+00   3.0010e+00   2.1070e-03             NA
7.3302e+00   3.0010e+00   2.1065e-03             NA
7.5853e+00   3.0010e+00   2.1070e-03             NA
7.7643e+00   3.0010e+00   2.1070e-03             NA
Finised 

